index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.1022,0.2978,0.6084,0.843,0.9514
EP (n=400),0.0976,0.3122,0.607,0.8504,0.9624
EP (n=900),0.108,0.321,0.617,0.858,0.9666
