index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.0474,0.069,0.1204,0.211,0.3348
EP (n=400),0.0534,0.0842,0.1574,0.3158,0.5218
EP (n=900),0.0448,0.0818,0.1556,0.3426,0.597
