index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.0642,0.2108,0.512,0.8072,0.9378
EP (n=400),0.0674,0.2092,0.5048,0.8016,0.9538
EP (n=900),0.0666,0.224,0.537,0.8218,0.9604
