index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.049,0.0496,0.047,0.051,0.0484
EP (n=400),0.0434,0.0468,0.0436,0.0484,0.04
EP (n=900),0.052,0.0498,0.057,0.0534,0.057
