index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.0606,0.2054,0.5242,0.8212,0.949
EP (n=400),0.069,0.2682,0.7282,0.9676,0.9982
EP (n=900),0.0626,0.2766,0.7914,0.9848,0.9994
AP,,,,,
