index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.0598,0.0988,0.1776,0.276,0.393
EP (n=400),0.059,0.1148,0.2044,0.3406,0.5366
EP (n=900),0.0596,0.103,0.2088,0.4048,0.608
