index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.1068,0.4872,0.8748,0.994,1.0
EP (n=400),0.095,0.4388,0.8626,0.9898,0.9998
EP (n=900),0.0986,0.4564,0.8642,0.9914,1.0
