index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.0694,0.2466,0.5672,0.8544,0.9666
EP (n=400),0.0648,0.2636,0.5874,0.8654,0.9788
EP (n=900),0.0812,0.2546,0.5982,0.8746,0.9754
