index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.0978,0.5252,0.9216,0.9982,1.0
EP (n=400),0.1062,0.5216,0.914,0.997,1.0
EP (n=900),0.0918,0.5144,0.917,0.996,1.0
AP,,,,,
