index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.1624,0.6458,0.96,0.9988,1.0
EP (n=400),0.179,0.6866,0.9694,0.9996,1.0
EP (n=900),0.1566,0.6554,0.962,0.9996,1.0
