index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.0534,0.1098,0.3044,0.6154,0.836
EP (n=400),0.053,0.1412,0.4178,0.8082,0.9736
EP (n=900),0.0618,0.1482,0.4948,0.882,0.9904
