index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.0742,0.232,0.6138,0.9018,0.9814
EP (n=400),0.065,0.283,0.748,0.9768,0.9992
EP (n=900),0.0574,0.2812,0.799,0.989,1.0
