index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.057,0.0514,0.0552,0.0504,0.0552
EP (n=400),0.0572,0.0554,0.0542,0.058,0.055
EP (n=900),0.0482,0.0554,0.0524,0.0534,0.0486
