index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.0546,0.0878,0.1718,0.3,0.4674
EP (n=400),0.0562,0.0984,0.2132,0.42,0.654
EP (n=900),0.0498,0.1048,0.234,0.4544,0.7148
