index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.0704,0.2044,0.5074,0.8202,0.963
EP (n=400),0.0676,0.2072,0.5038,0.825,0.9686
EP (n=900),0.0634,0.214,0.5074,0.835,0.9676
AP,,,,,
