index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.0918,0.4874,0.9082,0.9966,1.0
EP (n=400),0.0976,0.5218,0.9172,0.9976,1.0
EP (n=900),0.1068,0.5286,0.9204,0.9972,1.0
