index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.0918,0.5192,0.925,0.9974,1.0
EP (n=400),0.095,0.5288,0.9268,0.998,1.0
EP (n=900),0.111,0.5262,0.921,0.9976,1.0
