index,h2=1.0,h2=3.0,h2=5.0,h2=7.0,h2=9.0
EP (n=100),0.0542,0.1324,0.2688,0.4324,0.5964
EP (n=400),0.0642,0.1646,0.3634,0.621,0.8192
EP (n=900),0.0644,0.1738,0.4018,0.6882,0.8772
AP,,,,,
