index,h1=1.0,h1=3.0,h1=5.0,h1=7.0,h1=9.0
EP (n=100),0.063,0.242,0.5474,0.8216,0.9584
EP (n=400),0.067,0.2398,0.5532,0.847,0.9698
EP (n=900),0.0672,0.2366,0.5694,0.8546,0.9722
