index,h2=0.5,h2=1.0,h2=1.5,h2=2.0,h2=2.5,h2=3.0,h2=3.5,h2=4.0,h2=4.5,h2=5.0
EP (n=100),0.0464,0.0488,0.0696,0.0868,0.1336,0.1708,0.234,0.3154,0.4078,0.4884
EP (n=400),0.0492,0.0698,0.0932,0.1342,0.1934,0.2828,0.3922,0.5112,0.6176,0.7416
EP (n=900),0.0562,0.072,0.0982,0.1524,0.2166,0.334,0.4472,0.5958,0.7052,0.8216
EP (n=1600),0.0564,0.0754,0.095,0.1406,0.2372,0.3232,0.4624,0.6008,0.7352,0.8438
EP (n=2000),0.0538,0.068,0.1026,0.1472,0.2196,0.335,0.4586,0.6104,0.7384,0.8396
EP (n=3000),0.0452,0.0574,0.0824,0.1374,0.2128,0.3106,0.4462,0.6018,0.7264,0.8342
AP,0.0579612,0.0822527,0.123799,0.183252,0.260013,0.351458,0.452739,0.557306,0.658035,0.748602
