index,h2=1.0,h2=2.0,h2=3.0,h2=4.0,h2=5.0,h2=6.0,h2=7.0,h2=8.0,h2=9.0,h2=10.0
EP (n=100),0.0598,0.0854,0.1324,0.1902,0.269,0.3294,0.4198,0.4938,0.574,0.6526
EP (n=400),0.0628,0.1088,0.1674,0.2568,0.3704,0.5088,0.624,0.7168,0.8294,0.8874
EP (n=900),0.0666,0.1066,0.1902,0.292,0.421,0.5518,0.6834,0.8048,0.8808,0.9322
EP (n=1600),0.0582,0.1096,0.1788,0.2948,0.4312,0.5862,0.7202,0.8332,0.9016,0.9542
EP (n=2000),0.0626,0.1118,0.1866,0.3098,0.4452,0.5864,0.7308,0.834,0.9142,0.9584
EP (n=3000),0.0642,0.1138,0.1966,0.3088,0.4696,0.6172,0.7558,0.852,0.926,0.9672
AP,0.0660164,0.115499,0.200564,0.319051,0.460661,0.607691,0.740693,0.845586,0.917718,0.960973
