index,h1=1.0,h1=2.0,h1=3.0,h1=4.0,h1=5.0,h1=6.0,h1=7.0,h1=8.0,h1=9.0,h1=10.0
EP (n=100),0.0954,0.264,0.5136,0.7628,0.9124,0.9818,0.997,0.9994,1.0,1.0
EP (n=400),0.0926,0.2586,0.506,0.7612,0.9148,0.9828,0.9978,0.9998,1.0,1.0
EP (n=900),0.0992,0.2546,0.5092,0.7544,0.9042,0.9782,0.9972,1.0,1.0,1.0
EP (n=1600),0.0856,0.2454,0.4974,0.7508,0.9186,0.9832,0.9976,0.9992,1.0,1.0
EP (n=2000),0.1032,0.2638,0.519,0.7708,0.915,0.9814,0.9968,0.9996,1.0,1.0
EP (n=3000),0.1108,0.2746,0.5294,0.7672,0.9168,0.9834,0.9966,0.9996,1.0,1.0
AP,0.100048,0.256898,0.499257,0.742379,0.903773,0.974768,0.995455,0.999446,0.999955,0.999998
