,h2 = 0.5,h2 = 1.0,h2 = 1.5,h2 = 2.0,h2 = 2.5,h2 = 3.0,h2 = 3.5,h2 = 4.0,h2 = 4.5,h2 = 5.0
EP (n=100),0.0554,0.0596,0.085,0.1046,0.1546,0.2146,0.2746,0.3586,0.4448,0.5452
EP (n=400),0.0568,0.0692,0.0958,0.1382,0.2086,0.2986,0.415,0.5344,0.6574,0.757
EP (n=900),0.0494,0.0666,0.0946,0.143,0.2116,0.3164,0.4416,0.5794,0.7058,0.8104
EP (n=1600),0.045,0.0586,0.0744,0.1264,0.1814,0.2974,0.4078,0.5542,0.6894,0.7964
EP (n=2000),0.051,0.0662,0.1028,0.1432,0.2204,0.325,0.4674,0.6032,0.7408,0.8366
EP (n=3000),0.056,0.067,0.1022,0.1566,0.2348,0.337,0.4888,0.6374,0.7604,0.8678
AP,0.0579612,0.0822527,0.123799,0.183252,0.260013,0.351458,0.452739,0.557306,0.658035,0.748602
