index,h2=1.0,h2=1.5,h2=2.0,h2=2.5,h2=3.0,h2=3.5,h2=4.0,h2=4.5,h2=5.0
EP (n=100),0.0494,0.0668,0.0786,0.1066,0.1542,0.209,0.266,0.3414,0.4166
EP (n=400),0.0496,0.0688,0.0934,0.136,0.195,0.2844,0.3838,0.4888,0.622
EP (n=900),0.06,0.0766,0.1082,0.1638,0.225,0.3312,0.445,0.5748,0.6986
