index,h1=1.0,h1=1.5,h1=2.0,h1=2.5,h1=3.0,h1=3.5,h1=4.0,h1=4.5,h1=5.0
EP (n=100),0.1182,0.183,0.2726,0.4078,0.5314,0.6694,0.788,0.866,0.9276
EP (n=400),0.1072,0.179,0.2702,0.4126,0.556,0.6774,0.7748,0.871,0.935
EP (n=900),0.1,0.1716,0.2724,0.4002,0.5364,0.6636,0.789,0.866,0.9284
