index,h2=1.0,h2=1.5,h2=2.0,h2=2.5,h2=3.0,h2=3.5,h2=4.0,h2=4.5,h2=5.0
EP (n=100),0.0522,0.0724,0.0894,0.1308,0.1844,0.2476,0.3254,0.4202,0.4948
EP (n=400),0.0638,0.0902,0.1266,0.197,0.2656,0.38,0.513,0.6172,0.7352
EP (n=900),0.0708,0.1018,0.1568,0.2108,0.3408,0.4624,0.5942,0.7146,0.816
AP,,,,,,,,,
