index,h2=1.0,h2=2.0,h2=3.0,h2=4.0,h2=5.0,h2=6.0,h2=7.0,h2=8.0,h2=9.0
EP (n=100),0.0408,0.044,0.0476,0.0464,0.0434,0.0432,0.0482,0.0454,0.0424
EP (n=400),0.0514,0.0466,0.0518,0.0508,0.0484,0.0516,0.0548,0.0628,0.069
EP (n=900),0.0472,0.0482,0.0454,0.0514,0.0504,0.0578,0.0628,0.0624,0.0718
