index,h1=1.0,h1=2.0,h1=3.0,h1=4.0,h1=5.0,h1=6.0,h1=7.0,h1=8.0,h1=9.0
EP (n=100),0.0588,0.0658,0.0702,0.0682,0.0758,0.0874,0.1148,0.137,0.1854
EP (n=400),0.054,0.0506,0.054,0.0588,0.0634,0.075,0.0844,0.1016,0.1414
EP (n=900),0.0426,0.0478,0.0532,0.0532,0.0552,0.0702,0.074,0.0866,0.1102
