index,h1=1.0,h1=2.0,h1=3.0,h1=4.0,h1=5.0,h1=6.0,h1=7.0,h1=8.0,h1=9.0
EP (n=100),0.0766,0.1138,0.2122,0.3542,0.5232,0.6938,0.8278,0.9168,0.964
EP (n=400),0.0636,0.1114,0.207,0.3432,0.519,0.6864,0.82,0.9138,0.9658
EP (n=900),0.0652,0.1176,0.2236,0.361,0.5344,0.71,0.8286,0.9166,0.9682
AP,,,,,,,,,
