index,h2=1.0,h2=2.0,h2=3.0,h2=4.0,h2=5.0,h2=6.0,h2=7.0,h2=8.0,h2=9.0
EP (n=100),0.0482,0.087,0.122,0.1792,0.2628,0.3428,0.4234,0.4834,0.579
EP (n=400),0.0606,0.1004,0.164,0.2536,0.3842,0.4922,0.617,0.7318,0.8216
EP (n=900),0.0624,0.097,0.1686,0.2912,0.42,0.541,0.6888,0.7862,0.8758
AP,,,,,,,,,
